,X,Y,Z,Cluster,ClusterZ
127707,-7.5554166379128995,33.5120833920752,2721.2587890625,3,0
127708,-7.5470833046129,33.5120833920752,1220.8238525390625,3,0
127709,-7.5387499713129,33.5120833920752,608.9948120117188,3,0
127710,-7.530416638012899,33.5120833920752,433.14007568359375,3,0
127711,-7.522083304712899,33.5120833920752,1010.6890869140624,3,0
127712,-7.513749971412899,33.5120833920752,2232.611572265625,3,0
127713,-7.505416638112899,33.5120833920752,3923.863525390625,3,0
127714,-7.497083304812899,33.5120833920752,4424.3193359375,3,0
127715,-7.488749971512899,33.5120833920752,1359.205078125,3,0
127716,-7.480416638212899,33.5120833920752,331.2431335449219,3,0
127717,-7.472083304912899,33.5120833920752,343.27984619140625,3,0
127718,-7.463749971612899,33.5120833920752,203.00030517578125,3,0
127719,-7.455416638312901,33.5120833920752,74.26133728027342,3,0
127720,-7.4470833050128995,33.5120833920752,63.84232711791992,3,0
127721,-7.438749971712901,33.5120833920752,84.40923309326173,3,0
127722,-7.4304166384129,33.5120833920752,118.3746871948242,3,0
127723,-7.422083305112899,33.5120833920752,150.80084228515625,3,0
127724,-7.4137499718129,33.5120833920752,125.03583526611328,3,0
128440,-7.738749970512899,33.5037500587752,884.0327758789062,3,0
128441,-7.730416637212899,33.5037500587752,1283.8548583984375,3,0
128442,-7.722083303912899,33.5037500587752,1340.2027587890625,3,0
128443,-7.713749970612899,33.5037500587752,2210.7626953125,3,0
128444,-7.705416637312899,33.5037500587752,2189.83984375,3,0
128445,-7.697083304012899,33.5037500587752,986.3697509765624,3,0
128446,-7.688749970712899,33.5037500587752,1564.9461669921875,3,0
128447,-7.6804166374128995,33.5037500587752,1136.4169921875,3,0
128448,-7.672083304112901,33.5037500587752,4114.05419921875,3,0
128449,-7.6637499708128995,33.5037500587752,8167.49169921875,0,3
128450,-7.655416637512899,33.5037500587752,8015.01220703125,0,3
128451,-7.6470833042129,33.5037500587752,3759.16943359375,3,0
128452,-7.638749970912899,33.5037500587752,4239.720703125,3,0
128453,-7.630416637612899,33.5037500587752,7830.3671875,0,3
128454,-7.622083304312899,33.5037500587752,4440.36328125,3,0
128455,-7.613749971012899,33.5037500587752,3097.208984375,3,0
128456,-7.605416637712899,33.5037500587752,2740.6484375,3,0
128457,-7.597083304412899,33.5037500587752,1348.4459228515625,3,0
128458,-7.588749971112899,33.5037500587752,932.3946533203124,3,0
128459,-7.580416637812899,33.5037500587752,601.1968994140625,3,0
128460,-7.5720833045128995,33.5037500587752,982.861328125,3,0
128461,-7.563749971212901,33.5037500587752,1097.3988037109375,3,0
128462,-7.5554166379128995,33.5037500587752,852.4689331054686,3,0
128463,-7.5470833046129,33.5037500587752,1344.1700439453125,3,0
128464,-7.5387499713129,33.5037500587752,810.9634399414062,3,0
128465,-7.530416638012899,33.5037500587752,413.143310546875,3,0
128466,-7.522083304712899,33.5037500587752,303.4315185546875,3,0
128467,-7.513749971412899,33.5037500587752,488.5217895507813,3,0
128468,-7.505416638112899,33.5037500587752,1574.5841064453125,3,0
128469,-7.497083304812899,33.5037500587752,4148.345703125,3,0
128470,-7.488749971512899,33.5037500587752,1142.27978515625,3,0
128471,-7.480416638212899,33.5037500587752,298.9553527832031,3,0
128472,-7.472083304912899,33.5037500587752,609.2714233398438,3,0
128473,-7.463749971612899,33.5037500587752,505.9657287597656,3,0
128474,-7.455416638312901,33.5037500587752,224.71087646484372,3,0
128475,-7.4470833050128995,33.5037500587752,125.81678771972656,3,0
128476,-7.438749971712901,33.5037500587752,128.9987640380859,3,0
128477,-7.4304166384129,33.5037500587752,142.64064025878906,3,0
128478,-7.422083305112899,33.5037500587752,136.8260498046875,3,0
128479,-7.4137499718129,33.5037500587752,78.79441833496092,3,0
129196,-7.738749970512899,33.495416725475195,925.2725219726561,3,0
129197,-7.730416637212899,33.495416725475195,2228.74560546875,3,0
129198,-7.722083303912899,33.495416725475195,2042.9334716796875,3,0
129199,-7.713749970612899,33.495416725475195,974.9882202148435,3,0
129200,-7.705416637312899,33.495416725475195,831.0775756835938,3,0
129201,-7.697083304012899,33.495416725475195,789.5654296875,3,0
129202,-7.688749970712899,33.495416725475195,1328.0609130859375,3,0
129203,-7.6804166374128995,33.495416725475195,1505.5565185546875,3,0
129204,-7.672083304112901,33.495416725475195,1308.873046875,3,0
129205,-7.6637499708128995,33.495416725475195,2809.353515625,3,0
129206,-7.655416637512899,33.495416725475195,2679.183837890625,3,0
